"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Study accession",Location
rs10760123-<b>T</b>,"5 x 10-9",,0.38,1.032,'-,[1.02-1.04],PHF19,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,9:120888256
rs7936323-<b>A</b>,"2 x 10-63",,0.46,1.088,'-,[1.08-1.1],"AP001189.2, EMSY","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,11:76582714
rs59593577-<b>C</b>,"2 x 10-11",,0.87,1.053,'-,[1.04-1.07],AP000820.2,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,11:95692362
rs12365699-<b>G</b>,"5 x 10-18",,0.85,1.061,'-,[1.05-1.07],"AP004609.1, CXCR5","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,11:118872577
rs56129466-<b>A</b>,"2 x 10-13",,0.79,1.047,'-,[1.04-1.06],"LINC02098, ETS1","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,11:128288294
rs55726902-<b>G</b>,"3 x 10-16",,0.8,1.051,'-,[1.04-1.06],HDAC7,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,12:47803199
rs4801001-<b>T</b>,"6 x 10-9",,0.42,1.031,'-,[1.02-1.04],"RAB27B, DYNAP","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,18:54668944
rs4574025-<b>T</b>,"7 x 10-9",,0.56,1.03,'-,[1.02-1.04],TNFRSF11A,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,18:62342581
rs10414065-<b>C</b>,"6 x 10-18",,0.92,1.098,'-,[1.08-1.12],"AC008738.6, SLC7A10","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,19:33230549
rs3787184-<b>A</b>,"1 x 10-12",,0.78,1.049,'-,[1.04-1.06],NFATC2,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,20:51541298
rs2766678-<b>G</b>,"5 x 10-18",,0.21,1.057,'-,[1.04-1.07],ZNF217,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,20:53591817
rs6011033-<b>G</b>,"4 x 10-14",,0.78,1.047,'-,[1.04-1.06],"RTEL1, RTEL1-TNFRSF6B","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,20:63691346
rs73205303-<b>A</b>,"8 x 10-10",,0.13,1.044,'-,[1.03-1.06],RUNX1,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,21:35095533
rs76081789-<b>T</b>,"1 x 10-8",,0.94,1.065,'-,[1.04-1.09],SIK1,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,21:43426546
rs5758343-<b>A</b>,"5 x 10-14",,0.22,1.048,'-,[1.04-1.06],"AL008582.1, TEF","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,22:41420648
rs848-<b>A</b>,"2 x 10-24",,0.24,1.068,'-,[1.06-1.08],"TH2LCRR, IL13","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,5:132660808
rs61839660-<b>T</b>,"4 x 10-19",,0.07,1.08,'-,[1.06-1.1],IL2RA,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,10:6052734
rs2025758-<b>T</b>,"5 x 10-15",,0.58,1.041,'-,[1.03-1.05],"LINC02676, AL355333.1","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,10:8799706
rs10068717-<b>T</b>,"5 x 10-15",,0.62,1.042,'-,[1.03-1.05],NDFIP1,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,5:142115369
rs13153019-<b>C</b>,"1 x 10-8",,0.26,1.035,'-,[1.02-1.05],"LMAN2, RGS14","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,5:177355217
rs10947428-<b>C</b>,"4 x 10-13",,0.19,1.046,'-,[1.03-1.06],ITPR3,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,6:33679281
rs3097670-<b>G</b>,"8 x 10-12",,0.88,1.064,'-,[1.05-1.08],"HLA-DPB1, HLA-DPA1","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,6:33078975
rs35469349-<b>A</b>,"2 x 10-10",,0.26,1.037,'-,[1.03-1.05],PTPRK,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,6:127973564
rs72033857-<b>C</b>,"1 x 10-9",,0.11,1.057,'-,[1.04-1.07],Z94721.1,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,6:166977184
rs6977955-<b>T</b>,"7 x 10-13",,0.21,1.046,'-,[1.03-1.06],JAZF1,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,7:28117268
rs7824394-<b>A</b>,"4 x 10-20",,0.37,1.05,'-,[1.04-1.06],AC034114.2,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,8:80380364
rs343478-<b>G</b>,"3 x 10-10",,0.52,1.033,'-,[1.02-1.04],AL162384.1,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,9:6051399
rs479844-<b>G</b>,"2 x 10-13",,0.57,1.038,'-,[1.03-1.05],"AP5B1, OVOL1","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,11:65784486
rs7130753-<b>C</b>,"7 x 10-15",,0.69,1.045,'-,[1.03-1.06],"SIK2, LAYN","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,11:111599843
rs55646091-<b>A</b>,"2 x 10-40",,0.05,1.179,'-,[1.16-1.2],"EMSY, AP001189.2","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,11:76588387
rs11236814-<b>A</b>,"4 x 10-14",,0.91,1.068,'-,[1.05-1.08],"AP001189.3, LINC02757","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,11:76632384
rs11169225-<b>A</b>,"1 x 10-11",,0.18,1.045,'-,[1.03-1.06],"AC025154.2, AQP2","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,12:49951888
rs1059513-<b>T</b>,"1 x 10-22",,0.89,1.084,'-,[1.07-1.1],STAT6,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,12:57095926
rs10876864-<b>G</b>,"1 x 10-19",,0.39,1.047,'-,[1.04-1.06],"IKZF4, SUOX","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,12:56007301
rs7137828-<b>T</b>,"2 x 10-10",,0.54,1.033,'-,[1.02-1.04],ATXN2,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,12:111494996
rs6489785-<b>T</b>,"2 x 10-15",,0.37,1.043,'-,[1.03-1.05],"HNF1A-AS1, RPL12P33","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,12:120925921
rs63406760-<b>T</b>,"3 x 10-13",,0.77,1.047,'-,[1.03-1.06],CDK2AP1,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,12:123258146
rs4943794-<b>C</b>,"7 x 10-12",,0.23,1.043,'-,[1.03-1.05],"FOXO1, AL133318.1","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,13:40599271
rs9573092-<b>A</b>,"3 x 10-8",,0.7,1.03,'-,[1.02-1.04],"KLF5, PSMD10P3","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,13:73053137
rs1048990-<b>G</b>,"1 x 10-8",,0.16,1.039,'-,[1.03-1.05],"PSMA6, AL121594.1","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,14:35292469
rs111914382-<b>TG</b>,"8 x 10-9",,0.27,1.036,'-,[1.02-1.05],TTC6,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,14:37627797
rs2104047-<b>T</b>,"2 x 10-13",,0.36,1.042,'-,[1.03-1.05],RAD51B,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,14:68287700
rs9323612-<b>A</b>,"9 x 10-9",,0.7,1.032,'-,[1.02-1.04],"JDP2, BATF","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,14:75502265
rs9989163-<b>A</b>,"2 x 10-8",,0.49,1.029,'-,[1.02-1.04],"RCOR1, AL132801.2","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,14:102768675
rs12440045-<b>C</b>,"5 x 10-10",,0.55,1.033,'-,[1.02-1.04],"RTF1, ITPKA","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,15:41490486
rs10519067-<b>G</b>,"9 x 10-13",,0.86,1.055,'-,[1.04-1.07],RORA,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,15:60776148
rs56375023-<b>A</b>,"8 x 10-32",,0.21,1.073,'-,[1.06-1.08],SMAD3,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,15:67156025
rs3540-<b>G</b>,"3 x 10-11",,0.65,1.036,'-,[1.03-1.05],IQGAP1,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,15:90502176
rs11644510-<b>C</b>,"6 x 10-38",,0.64,1.072,'-,[1.06-1.08],"AC007220.1, CLEC16A","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,16:11183501
rs12596613-<b>C</b>,"6 x 10-9",,0.67,1.032,'-,[1.02-1.04],AC099489.1,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,16:11397150
rs71368508-<b>C</b>,"2 x 10-9",,0.99,1.124,'-,[1.09-1.16],"LINC01996, RNU6-955P","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,17:4618178
rs921650-<b>A</b>,"6 x 10-30",,0.48,1.059,'-,[1.05-1.07],GSDMB,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,17:39912823
rs112401631-<b>A</b>,"2 x 10-26",,0.01,1.26,'-,[1.22-1.3],"AC004585.2, SMARCE1","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,17:40608272
rs7207591-<b>A</b>,"1 x 10-9",,0.76,1.038,'-,[1.03-1.05],STAT5B,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,17:42262844
rs7214661-<b>G</b>,"1 x 10-8",,0.32,1.032,'-,[1.02-1.04],"RNA5SP443, AC003070.2","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,17:45353330
rs9889262-<b>A</b>,"1 x 10-15",,0.35,1.043,'-,[1.03-1.05],ZNF652,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,17:49320708
rs11652139-<b>A</b>,"8 x 10-22",,0.59,1.051,'-,[1.04-1.06],PSMD3,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,17:39992780
rs11464691-<b>TA</b>,"1 x 10-21",,0.57,1.052,'-,[1.04-1.06],"SMARCE1, AC004585.2","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,17:40614390
rs12470864-<b>A</b>,"4 x 10-26",,0.35,1.057,'-,[1.05-1.07],"FAM183DP, IL1RL1","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,2:102309902
rs1814576-<b>C</b>,"1 x 10-22",,0.09,1.121,'-,[1.1-1.14],"AC008782.1, SLC25A46","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,5:110824180
rs1837253-<b>C</b>,"2 x 10-31",,0.78,1.07,'-,[1.06-1.08],"TSLP, AC010395.1","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,5:111066174
rs3091307-<b>G</b>,"4 x 10-21",,0.2,1.062,'-,[1.05-1.07],TH2LCRR,"Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,5:132653444
rs2507978-<b>G</b>,"1 x 10-10",,0.41,1.035,'-,[1.02-1.05],"AL645933.3, HLA-S","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,6:31383887
rs4747846-<b>C</b>,"1 x 10-11",,0.52,1.036,'-,[1.03-1.05],"IL2RA, AL137186.1","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,10:6032488
rs11255968-<b>C</b>,"8 x 10-9",,0.96,1.09,'-,[1.06-1.12],"LINC02676, AL355333.1","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,10:8894199
rs72782676-<b>C</b>,"3 x 10-11",,0.98,1.303,'-,[1.23-1.38],"AC044784.1, LINC00709","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,10:8990592
rs1444789-<b>C</b>,"2 x 10-22",,0.2,1.066,'-,[1.05-1.08],"AC044784.1, LINC00709","Allergic disease (asthma, hay fever or eczema)",allergy,GCST005038,10:9022398
rs479844-<b>G</b>,"1 x 10-13",,0.56,1.14,'-,[1.10-1.18],"AP5B1, OVOL1","Atopic dermatitis","atopic eczema",GCST001363,11:65784486
rs2164983-<b>A</b>,"7 x 10-9",,0.15,1.16,'-,[1.10-1.22],"AC243312.1, LINC01862","Atopic dermatitis","atopic eczema",GCST001363,19:8679120
rs2897442-<b>C</b>,"4 x 10-8",,0.29,1.11,'-,[1.07-1.15],"AC004039.1, KIF3A","Atopic dermatitis","atopic eczema",GCST001363,5:132713335
rs7000782-<b>A</b>,"1 x 10-6",,0.43,1.09,'-,[1.05-1.13],AC034114.2,"Atopic dermatitis","atopic eczema",GCST001363,8:80395915
rs4821544-<b>C</b>,"6 x 10-6",,0.29,1.09,'-,[1.05-1.13],"NCF4, NCF4-AS1","Atopic dermatitis","atopic eczema",GCST001363,22:36862461
rs3853601-<b>G</b>,"2 x 10-6",,0.12,1.13,'-,[1.08-1.19],"ATP6V1G2-DDX39B, DDX39B","Atopic dermatitis","atopic eczema",GCST001363,6:31531826
rs1523643-<b>?</b>,"3 x 10-7",(AA),NR,'-,'-,'-,"FGF20, AC011586.2","Allergic rhinitis in asthma","allergic rhinitis, asthma",GCST002552,8:16931726
